Speed, Unit, Time
24,Mbps,Wed Nov  1 06:39:46 2017
23,Mbps,Wed Nov  1 06:40:47 2017
20,Mbps,Wed Nov  1 06:41:47 2017
24,Mbps,Wed Nov  1 06:42:47 2017
24,Mbps,Wed Nov  1 06:43:48 2017
24,Mbps,Wed Nov  1 06:44:48 2017
24,Mbps,Wed Nov  1 06:45:48 2017
25,Mbps,Wed Nov  1 06:46:48 2017
24,Mbps,Wed Nov  1 06:47:49 2017
22,Mbps,Wed Nov  1 06:48:49 2017
24,Mbps,Wed Nov  1 06:49:49 2017
23,Mbps,Wed Nov  1 06:50:50 2017
24,Mbps,Wed Nov  1 06:51:50 2017
23,Mbps,Wed Nov  1 06:52:50 2017
25,Mbps,Wed Nov  1 06:53:50 2017
24,Mbps,Wed Nov  1 06:54:51 2017
24,Mbps,Wed Nov  1 06:55:51 2017
23,Mbps,Wed Nov  1 06:56:51 2017
19,Mbps,Wed Nov  1 06:57:52 2017
23,Mbps,Wed Nov  1 06:58:52 2017
25,Mbps,Wed Nov  1 06:59:52 2017
23,Mbps,Wed Nov  1 07:00:52 2017
25,Mbps,Wed Nov  1 07:01:53 2017
18,Mbps,Wed Nov  1 07:02:53 2017
24,Mbps,Wed Nov  1 07:03:53 2017
23,Mbps,Wed Nov  1 07:04:54 2017
24,Mbps,Wed Nov  1 07:05:54 2017
24,Mbps,Wed Nov  1 07:06:54 2017
24,Mbps,Wed Nov  1 07:07:55 2017
23,Mbps,Wed Nov  1 07:08:55 2017
24,Mbps,Wed Nov  1 07:09:55 2017
23,Mbps,Wed Nov  1 07:10:55 2017
24,Mbps,Wed Nov  1 07:11:56 2017
18,Mbps,Wed Nov  1 07:12:56 2017
24,Mbps,Wed Nov  1 07:13:56 2017
23,Mbps,Wed Nov  1 07:14:56 2017
24,Mbps,Wed Nov  1 07:15:57 2017
23,Mbps,Wed Nov  1 07:16:57 2017
24,Mbps,Wed Nov  1 07:17:57 2017
21,Mbps,Wed Nov  1 07:18:58 2017
25,Mbps,Wed Nov  1 07:19:58 2017
23,Mbps,Wed Nov  1 07:20:58 2017
25,Mbps,Wed Nov  1 07:21:58 2017
23,Mbps,Wed Nov  1 07:22:59 2017
24,Mbps,Wed Nov  1 07:23:59 2017
24,Mbps,Wed Nov  1 07:24:59 2017
23,Mbps,Wed Nov  1 07:26:00 2017
23,Mbps,Wed Nov  1 07:27:00 2017
24,Mbps,Wed Nov  1 07:28:00 2017
